lake,date,depth_m,parameter,value
TurkeyCreek,2025-07-16,12.75,chla_RFU,0.02
TurkeyCreek,2025-07-16,12.75,cond_spec_uScm,157.7
TurkeyCreek,2025-07-16,12.75,cond_uScm,95.3
TurkeyCreek,2025-07-16,12.75,do_mgL,0.1
TurkeyCreek,2025-07-16,12.75,do_percent,0.75
TurkeyCreek,2025-07-16,12.75,phycoC_RFU,-0.03
TurkeyCreek,2025-07-16,12.75,temp_C,4.289
TurkeyCreek,2025-07-16,13.25,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,13.25,chla_RFU,0.04
TurkeyCreek,2025-07-16,13.25,cond_spec_uScm,159.1
TurkeyCreek,2025-07-16,13.25,cond_uScm,96.2
TurkeyCreek,2025-07-16,13.25,do_mgL,0.09
TurkeyCreek,2025-07-16,13.25,do_percent,0.7
TurkeyCreek,2025-07-16,13.25,phycoC_RFU,-0.04
TurkeyCreek,2025-07-16,13.25,temp_C,4.289
TurkeyCreek,2025-07-16,13.5,barometer_mmHg,511.55
TurkeyCreek,2025-07-16,13.5,chla_RFU,0.035
TurkeyCreek,2025-07-16,13.5,cond_spec_uScm,161.2
TurkeyCreek,2025-07-16,13.5,cond_uScm,97.44999999999999
TurkeyCreek,2025-07-16,13.5,do_mgL,0.08
TurkeyCreek,2025-07-16,13.5,do_percent,0.6
TurkeyCreek,2025-07-16,13.5,phycoC_RFU,-0.035
TurkeyCreek,2025-07-16,13.5,temp_C,4.292
TurkeyCreek,2025-07-16,13.75,barometer_mmHg,511.55
TurkeyCreek,2025-07-16,13.75,chla_RFU,0.065
TurkeyCreek,2025-07-16,13.75,cond_spec_uScm,163.5
TurkeyCreek,2025-07-16,13.75,cond_uScm,98.80000000000001
TurkeyCreek,2025-07-16,13.75,do_mgL,0.065
TurkeyCreek,2025-07-16,13.75,do_percent,0.5
TurkeyCreek,2025-07-16,13.75,phycoC_RFU,-0.03
TurkeyCreek,2025-07-16,13.75,temp_C,4.2935
TurkeyCreek,2025-07-16,14,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,14,chla_RFU,0.08
TurkeyCreek,2025-07-16,14,cond_spec_uScm,165.6
TurkeyCreek,2025-07-16,14,cond_uScm,100.1
TurkeyCreek,2025-07-16,14,do_mgL,0.05
TurkeyCreek,2025-07-16,14,do_percent,0.4
TurkeyCreek,2025-07-16,14,phycoC_RFU,-0.04
TurkeyCreek,2025-07-16,14,temp_C,4.295
TurkeyCreek,2025-07-16,14.5,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,14.5,chla_RFU,0.07
TurkeyCreek,2025-07-16,14.5,cond_spec_uScm,167.3
TurkeyCreek,2025-07-16,14.5,cond_uScm,101.1
TurkeyCreek,2025-07-16,14.5,do_mgL,0.05
TurkeyCreek,2025-07-16,14.5,do_percent,0.4
TurkeyCreek,2025-07-16,14.5,phycoC_RFU,-0.04
TurkeyCreek,2025-07-16,14.5,temp_C,4.296
TurkeyCreek,2025-07-16,14.75,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,14.75,chla_RFU,0.07
TurkeyCreek,2025-07-16,14.75,cond_spec_uScm,167.8
TurkeyCreek,2025-07-16,14.75,cond_uScm,101.5
TurkeyCreek,2025-07-16,14.75,do_mgL,0.04
TurkeyCreek,2025-07-16,14.75,do_percent,0.3
TurkeyCreek,2025-07-16,14.75,phycoC_RFU,-0.03
TurkeyCreek,2025-07-16,14.75,temp_C,4.297
TurkeyCreek,2025-07-16,15,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,15,chla_RFU,0.05
TurkeyCreek,2025-07-16,15,cond_spec_uScm,170.3
TurkeyCreek,2025-07-16,15,cond_uScm,102.9
TurkeyCreek,2025-07-16,15,do_mgL,0.03
TurkeyCreek,2025-07-16,15,do_percent,0.2
TurkeyCreek,2025-07-16,15,phycoC_RFU,-0.03
TurkeyCreek,2025-07-16,15,temp_C,4.299
TurkeyCreek,2025-07-16,15.25,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,15.25,chla_RFU,0.025
TurkeyCreek,2025-07-16,15.25,cond_spec_uScm,173.25
TurkeyCreek,2025-07-16,15.25,cond_uScm,104.75
TurkeyCreek,2025-07-16,15.25,do_mgL,0.02
TurkeyCreek,2025-07-16,15.25,do_percent,0.15000000000000002
TurkeyCreek,2025-07-16,15.25,phycoC_RFU,-0.03
TurkeyCreek,2025-07-16,15.25,temp_C,4.3025
TurkeyCreek,2025-07-16,15.5,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,15.5,chla_RFU,0.39
TurkeyCreek,2025-07-16,15.5,cond_spec_uScm,177.2
TurkeyCreek,2025-07-16,15.5,cond_uScm,107.2
TurkeyCreek,2025-07-16,15.5,do_mgL,0.01
TurkeyCreek,2025-07-16,15.5,do_percent,0.1
TurkeyCreek,2025-07-16,15.5,phycoC_RFU,0.19
TurkeyCreek,2025-07-16,15.5,temp_C,4.306
TurkeyCreek,2025-07-16,15.75,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,15.75,chla_RFU,0.17
TurkeyCreek,2025-07-16,15.75,cond_spec_uScm,180.9
TurkeyCreek,2025-07-16,15.75,cond_uScm,109.4
TurkeyCreek,2025-07-16,15.75,do_mgL,-0.01
TurkeyCreek,2025-07-16,15.75,do_percent,-0.1
TurkeyCreek,2025-07-16,15.75,phycoC_RFU,0.26
TurkeyCreek,2025-07-16,15.75,temp_C,4.315
TurkeyCreek,2025-07-16,16,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,16,chla_RFU,0.14
TurkeyCreek,2025-07-16,16,cond_spec_uScm,183.2
TurkeyCreek,2025-07-16,16,cond_uScm,110.8
TurkeyCreek,2025-07-16,16,do_mgL,-0.04
TurkeyCreek,2025-07-16,16,do_percent,-0.3
TurkeyCreek,2025-07-16,16,phycoC_RFU,0.21
TurkeyCreek,2025-07-16,16,temp_C,4.317
